,0
3867,0.6195077090372938
54552,0.24856816773808224
3671,0.3844292191363604
4348,0.2313570746995876
52886,0.5526285841418769
4021,0.16573488410177836
54846,0.29772505179578684
3855,0.22274475419103576
3534,0.13071590553472462
3688,0.1612699723828274
4047,0.3147365174166621
51330,0.1397443178853156
53149,0.46479285408192444
94283,0.7960304932984172
195354,0.02420725022088658
9674,0.01575829877688056
96338,0.054619417517482255
3553,0.022893464783462564
3725,0.1057875186775947
252053,0.028111626614616914
49924,0.04160468958473317
52598,0.10973258744173933
4726,0.32511495652426786
4075,0.06667349423519141
51256,0.0033211481716523086
205841,0.06576513162525921
3680,0.05273886676018525
751617,0.020157120808728113
3981,0.076253903136088
95375,0.10667409030298151
3739,0.05474052186502091
216411,0.025016874649674538
45581,0.0039060249806742056
3610,0.044344724179689474
49885,0.0009187662595757979
251954,0.0613186315973893
4125,0.003010542930310405
81226,0.2157934859088847
970273,0.019092350444862974
51288,0.12615613563673847
3484,0.04508388643144113
177312,0.14164268553217294
53378,0.14627780711102017
3979,0.04405089663786155
49884,0.015445566111507433
51794,0.08513057015701356
74716,0.21149240975548905
75587,0.15350678301347856
7479,0.34118693831941177
54883,0.06988560236796656
802298,0.08923610775025385
207050,0.09774666279531066
4633,0.08890053829281831
4508,0.18322531627097122
4072,0.17250466934841027
3533,0.2097159095976849
3745,0.36007533262227065
5218,0.29152587489513193
3623,0.23787225802924566
55210,0.1208626868498037
3673,0.14963069289182
153710,0.08452340825871696
51790,0.0594149312008734
87175,0.15959544747012733
669250,0.006293302249635466
4299,0.1356194439522986
50992,0.030402036230981668
3850,0.13277333190408722
3967,0.11600621093780743
4309,0.10140473752027485
3882,0.13870498956414012
3458,0.3237286080947372
142094,0.25798274437172997
202479,0.07911317330689112
806774,0.14293791522722907
197507,0.025646399756866396
76845,0.03826632689026352
3518,0.10363498219061387
405461,0.015503671529024045
83620,0.17030749474107534
69297,0.03381593514860242
58365,0.03442789482390208
3669,0.11153092015440512
4515,0.9312759926055606
3503,0.33874796087797937
606930,0.39911422547513037
3943,0.47920588274296705
3476,0.23761071736517536
3468,0.6278720459463377
217470,0.13890080256665133
207438,0.3127144610006308
3474,0.3325836631876506
3993,0.4969686510201723
3488,0.20153740186116148
3960,0.16779040799984796
3608,0.4033870940605508
4686,0.2207387276118691
3481,0.34557166639346926
206781,0.49109733568472536
207034,0.0942402491331775
4417,0.5584494436645963
206806,0.3652623641751939
3587,0.5503833461952365
3679,0.2118688656162892
224134,0.4026569996620028
3644,0.28350668972313836
52341,0.5793048667286681
217512,0.5448656959892184
53840,0.3037997929888719
3915,0.24913472273428255
369115,0.046794296742140425
224389,0.05756221404791777
57534,0.00887371623886635
34191,0.15724565836499568
373773,0.060779670138005115
57433,0.08228899385696617
3550,0.00982713419602894
55282,0.2999383273071775
263508,0.07606309719055737
76531,0.14240358987259474
52976,0.06957308670145997
206794,0.20657710569852994
28718,0.3278611626240146
218159,0.4339943543509995
3741,0.2671386771798621
51245,0.03098127665540311
207037,0.449305025234592
3927,0.6880952894867084
3464,0.6054598285768985
4560,0.34502636032899525
3901,0.37385581983192134
3868,0.38797725821288653
943670,0.10403352615349887
3659,0.5253866190388004
4441,0.25521530098468376
3878,0.4836000566082076
3761,0.38349643555614005
52337,0.32943505205236123
4151,0.341747339178613
3605,0.2703662174159262
3871,0.6822959530594166
206796,0.4239233511229624
298703,0.3670822596800797
3499,0.5025998505929528
3695,0.716305158942587
53374,0.37762897891032726
3482,0.21432338627278286
3734,0.39150303052604324
9997,0.19417132027766437
204410,0.2073628390137964
49954,0.23659000007455294
4169,0.2179828935528155
28097,0.20750165095006387
4957,0.15620379203886708
95506,0.20190391833801222
4464,0.10416320190765214
3766,0.18618843490042453
66480,0.29226133326322185
196974,0.2559250872988432
49955,0.3003821407567092
55849,0.15696421312284956
